MAPE Médio (%),Mediana (%),Desvio (%),Q1 (%),Q3 (%),Min (%),Max (%),< 5%,< 10%,< 50%,< 100%,N
9.81,7.13,11.35,3.31,13.16,0.01,134.33,104/294,185/294,292/294,293/294,294
9.81,6.88,14.7,3.32,12.1,0.02,168.41,111/294,197/294,290/294,292/294,294
9.91,7.28,13.04,3.42,12.67,0.0,143.29,105/294,196/294,292/294,292/294,294
9.98,6.64,13.13,3.14,12.74,0.01,144.1,115/294,192/294,291/294,292/294,294
9.99,6.94,14.17,3.22,11.93,0.01,158.04,112/294,198/294,291/294,292/294,294
9.99,6.64,13.57,3.62,12.92,0.01,140.58,110/294,198/294,290/294,292/294,294
10.11,7.14,13.94,3.34,12.67,0.01,155.51,114/294,193/294,291/294,292/294,294
10.12,6.72,14.01,3.37,12.24,0.02,146.73,109/294,194/294,290/294,292/294,294
10.25,7.02,13.09,3.34,13.41,0.05,141.01,101/294,182/294,291/294,292/294,294
10.31,7.18,13.77,3.18,12.9,0.01,137.29,105/294,187/294,288/294,292/294,294
10.35,7.41,13.19,3.77,13.33,0.07,155.48,102/294,182/294,292/294,292/294,294
10.36,6.82,13.67,3.58,12.67,0.01,132.85,114/294,187/294,289/294,292/294,294
10.7,7.94,14.27,3.54,13.21,0.04,150.45,99/294,181/294,290/294,292/294,294
10.97,7.39,13.51,3.58,14.22,0.03,137.82,99/294,178/294,289/294,292/294,294
11.16,7.86,14.76,3.9,13.96,0.04,148.69,97/294,177/294,288/294,292/294,294
761.84,7.49,8677.44,3.23,16.26,0.12,143059.06,121/295,172/295,277/295,283/295,295
