Modelo,Dia Prevista,Valor Previsto,Valor Realizado,MAPE (%)
FEAT+ABR(3),2025-02-18,3037.3,2961,2.58
Pipeline em Produção,2025-02-18,3041.4,2961,15.65
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-18,2894.4,2961,2.25
Voting(ETR+RFR+XGB),2025-02-18,2950.2,2961,0.36
FEAT+ABR(3),2025-02-19,3035.3,2959,2.58
Pipeline em Produção,2025-02-19,2971.5,2959,2.02
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-19,2997.3,2959,1.29
Voting(ETR+RFR+XGB),2025-02-19,2955.5,2959,0.12
FEAT+ABR(3),2025-02-20,2770.5,2886,4.0
Pipeline em Produção,2025-02-20,2944.9,2886,1.18
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-20,2946.5,2886,2.1
Voting(ETR+RFR+XGB),2025-02-20,2984.7,2886,3.42
FEAT+ABR(3),2025-02-21,2949.4,3073,4.02
Pipeline em Produção,2025-02-21,2615.0,3073,2.11
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-21,2931.7,3073,4.6
Voting(ETR+RFR+XGB),2025-02-21,2940.0,3073,4.33
FEAT+ABR(3),2025-02-24,2742.9,2729,0.51
Pipeline em Produção,2025-02-24,2937.7,2729,1.68
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-24,2922.9,2729,7.1
Voting(ETR+RFR+XGB),2025-02-24,2983.6,2729,9.33
FEAT+ABR(3),2025-02-25,2962.1,3043,2.66
Pipeline em Produção,2025-02-25,2946.2,3043,17.05
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-25,2741.2,3043,9.92
Voting(ETR+RFR+XGB),2025-02-25,2889.9,3043,5.03
FEAT+ABR(3),2025-02-26,2965.8,2853,3.95
Pipeline em Produção,2025-02-26,2705.3,2853,1.73
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-26,2949.0,2853,3.36
Voting(ETR+RFR+XGB),2025-02-26,2943.0,2853,3.15
FEAT+ABR(3),2025-02-27,2713.2,2860,5.13
Pipeline em Produção,2025-02-27,2548.1,2860,3.73
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-27,2922.0,2860,2.17
Voting(ETR+RFR+XGB),2025-02-27,2854.6,2860,0.19
FEAT+ABR(3),2025-02-28,2936.1,2885,1.77
Pipeline em Produção,2025-02-28,2909.5,2885,13.93
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-02-28,2917.8,2885,1.14
Voting(ETR+RFR+XGB),2025-02-28,2891.9,2885,0.24
FEAT+ABR(3),2025-03-05,2970.0,3536,16.01
Pipeline em Produção,2025-03-05,3189.0,3536,1.91
