MAPE Medio (%),RMSPE (%),R2,Vies (real-prev),DP Erro,Max (%),< 5%,< 10%,< 50%
7.48,9.22,0.208,54.4,266.2,29.07,88/206,153/206,206/206
7.56,9.27,0.251,6.6,264.2,28.59,75/206,150/206,206/206
7.7,9.39,0.236,5.7,266.9,30.4,76/206,140/206,206/206
7.81,9.89,0.134,4.3,284.2,39.52,76/206,146/206,206/206
7.87,9.94,0.13,4.4,284.8,39.62,74/206,149/206,206/206
7.96,10.35,0.069,5.5,294.6,31.68,86/206,133/206,206/206
8.03,10.0,0.105,3.3,288.9,34.05,80/206,148/206,206/206
8.04,10.55,0.045,4.9,298.4,36.54,86/206,136/206,206/206
8.08,10.29,0.041,3.9,299.0,42.1,75/206,138/206,206/206
8.08,10.33,0.071,4.7,294.3,32.03,79/206,145/206,206/206
8.1,10.46,0.064,4.9,295.4,38.09,80/206,136/206,206/206
8.13,10.67,0.038,3.7,299.5,49.84,77/206,145/206,206/206
8.19,10.68,0.024,5.3,301.6,36.92,82/206,144/206,206/206
8.2,10.48,0.043,4.2,298.6,38.3,83/206,144/206,206/206
8.2,10.57,0.043,7.3,298.6,38.98,77/206,137/206,206/206
8.21,10.65,0.011,5.4,303.6,39.14,84/206,144/206,206/206
8.22,10.76,0.019,2.9,302.5,48.67,77/206,141/206,206/206
8.27,10.53,0.033,2.0,300.3,34.69,80/206,141/206,206/206
8.29,10.59,0.01,4.5,303.7,35.53,81/206,134/206,206/206
8.32,10.55,0.01,5.7,303.8,32.98,84/206,135/206,206/206
8.37,12.26,-0.263,6.8,343.2,78.96,80/206,143/206,204/206
8.38,10.89,-0.036,5.8,310.7,35.67,84/206,131/206,206/206
8.51,11.27,-0.079,1.3,317.1,48.8,83/206,138/206,206/206
8.52,10.71,0.006,7.0,304.3,37.13,75/206,139/206,206/206
8.54,10.83,-0.043,1.4,311.8,39.57,75/206,136/206,206/206
8.59,11.3,-0.109,6.1,321.5,68.83,70/206,137/206,205/206
8.64,11.6,-0.156,4.1,328.3,55.6,77/206,140/206,205/206
8.68,11.81,-0.173,4.4,330.7,58.3,74/206,140/206,205/206
8.69,11.91,-0.2,0.2,334.5,54.97,81/206,138/206,204/206
8.7,11.43,-0.103,1.1,320.6,49.72,75/206,135/206,206/206
8.8,11.97,-0.204,2.4,335.0,76.75,65/206,143/206,205/206
8.84,10.94,-0.064,2.6,315.0,41.77,61/206,134/206,206/206
8.88,12.53,-0.363,5.0,356.4,74.29,77/206,133/206,204/206
8.88,12.33,-0.263,3.4,343.2,72.53,75/206,144/206,205/206
8.9,11.71,-0.182,4.1,332.0,53.17,73/206,139/206,205/206
8.98,11.74,-0.177,2.7,331.3,49.75,69/206,142/206,206/206
8.99,12.69,-0.32,4.3,350.8,74.55,74/206,142/206,205/206
9.01,11.55,-0.212,1.3,336.2,63.35,60/206,137/206,205/206
9.01,11.55,-0.212,1.3,336.2,63.35,60/206,137/206,205/206
9.04,11.99,-0.226,5.5,338.0,52.85,72/206,137/206,204/206
9.05,11.89,-0.268,2.6,343.8,68.05,62/206,137/206,205/206
9.11,12.71,-0.437,8.3,365.9,68.84,72/206,132/206,203/206
9.11,12.65,-0.36,3.6,356.1,77.9,76/206,132/206,204/206
9.15,13.3,-0.449,0.0,367.5,84.16,76/206,139/206,204/206
9.16,12.67,-0.338,-0.9,353.2,60.24,75/206,140/206,205/206
9.19,11.81,-0.226,6.5,338.1,39.68,70/206,133/206,206/206
9.2,13.63,-0.585,5.7,384.4,77.35,72/206,138/206,203/206
9.2,13.14,-0.437,3.7,366.0,73.49,72/206,146/206,204/206
9.21,11.91,-0.302,1.5,348.4,65.56,66/206,125/206,205/206
9.21,12.03,-0.221,2.7,337.4,50.02,66/206,133/206,205/206
